owner_id,price,position,player_name,player_id
1,40,QB,Russell Wilson,2532975
1,57,RB,Jonathan Taylor,2564148
1,7,RB,A.J. Dillon,2563986
1,8,WR,Adam Thielen,2541785
1,18,WR,Allen Robinson,2543509
1,5,WR,Allen Lazard,2560787
1,26,TE,Travis Kelce,2540258
1,19,QB,Matt Ryan,310
1,4,RB,Melvin Gordon,2552469
1,1,RB,Nyheim Hines,2560742
1,3,RB,Brian Robinson Jr.,2568348
1,12,WR,Rashod Bateman,2565836
16,42,QB,Joe Burrow,2563722
16,36,RB,Saquon Barkley,2560968
16,6,RB,Miles Sanders,2562722
16,36,WR,Davante Adams,2543495
16,13,WR,Terry McLaurin,2562489
16,5,WR,Chris Olave,2567973
16,16,TE,George Kittle,2558266
16,46,QB,Kyler Murray,2562382
14,41,QB,Aaron Rodgers,2506363
14,18,RB,Cam Akers,2564319
14,10,RB,Elijah Mitchell,2566538
14,28,WR,Deebo Samuel,2562721
14,10,WR,Jaylen Waddle,2566292
14,17,WR,Michael Pittman Jr.,2564136
14,22,TE,Mark Andrews,2560957
14,9,QB,Jared Goff,2555334
14,13,RB,David Montgomery,2562502
14,14,QB,Trevor Lawrence,2566163
14,6,QB,Zach Wilson,2566391
14,9,WR,Courtland Sutton,2560888
14,3,RB,Kenneth Walker III,2568282
11,37,QB,Matthew Stafford,79860
11,11,RB,Clyde Edwards-Helaire,2564271
11,42,RB,Najee Harris,2566448
11,15,WR,Diontae Johnson,2562674
11,11,WR,JuJu Smith-Schuster,2558149
11,14,WR,Mike Williams,2558846
11,15,TE,Darren Waller,2552408
11,12,QB,Mac Jones,2566334
11,10,WR,D.K. Metcalf,2562685
11,3,DEF,Green Bay Defense,100011
11,7,RB,Tony Pollard,2562699
11,1,RB,Raheem Mostert,2553728
11,4,QB,Kenny Pickett,2568162
11,11,WR,Cordarrelle Patterson,2540145
11,5,RB,James Cook,2567328
11,2,WR,Marquez Valdes-Scantling,2560907
3,17,QB,Justin Fields,2565920
3,51,RB,Austin Ekeler,2559169
3,6,RB,Kareem Hunt,2557917
3,28,WR,CeeDee Lamb,2563848
3,42,WR,Justin Jefferson,2564556
3,7,WR,Amon-Ra St. Brown,2566073
3,38,QB,Trey Lance,2566532
3,1,RB,Darrell Henderson,2562574
3,1,DEF,Indianapolis Defense,100014
3,6,QB,Davis Mills,2566136
3,1,WR,Tyler Lockett,2552430
3,1,RB,Jamaal Williams,2558204
3,1,RB,Isaiah Spiller,2568189
2,12,QB,Marcus Mariota,2552466
2,35,RB,D'Andre Swift,2563965
2,7,RB,Chase Edmonds,2560711
2,34,WR,Ja'Marr Chase,2565941
2,21,WR,A.J. Brown,2562238
2,1,WR,Treylon Burks,2567643
2,1,TE,Dallas Goedert,2560995
2,42,QB,Jalen Hurts,2564832
2,5,RB,Antonio Gibson,2565276
2,1,K,Evan McPherson,2565953
2,1,WR,Skyy Moore,2567805
2,30,QB,Kirk Cousins,2532820
2,6,WR,DeAndre Hopkins,2540165
2,1,RB,Ronald Jones II,2560770
2,1,RB,Kenneth Gainwell,2566397
2,1,WR,D.J. Chark,2561018
2,1,WR,George Pickens,2568159
7,24,QB,Derek Carr,2543499
7,25,RB,Javonte Williams,2566049
7,20,RB,Travis Etienne,2566157
7,31,WR,Stefon Diggs,2552608
7,14,WR,D.J. Moore,2560813
7,4,WR,Darnell Mooney,2563707
7,17,TE,Kyle Pitts,2565830
7,3,QB,Geno Smith,2539335
7,39,RB,Aaron Jones,2558116
7,1,PK,Tyler Bass,2563596
7,2,DEF,Buffalo Defense,100003
7,4,WR,Gabriel Davis,2563602
7,3,WR,Drake London,2567250
7,2,WR,Kadarius Toney,2566376
7,1,QB,Jimmy Garoppolo,2543801
7,2,DEF,Tampa Bay Defense,100031
